animeTitle	Baguda-jou no Touzoku
animeType	Movie
animeNumEpisode	1
releaseDate	1926-10-06 00:00:00
endDate	
animeNumMembers	1209
animeScore	5.1
animeUsers	643
animeRank	11291
animePopularity	10682
animeDescription	"In order to win the hand of a princess, a man must defeat an evil dragon and claim its treasured magic stone. Upon his return, Baghdad has been invaded and he must use the stone to defeat his new enemy.

(Source: AniDB, edited)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
