animeTitle	Kyou no 5 no 2
animeType	OVA
animeNumEpisode	4
releaseDate	2006-03-24 00:00:00
endDate	2007-03-21 00:00:00
animeNumMembers	
animeScore	7.22
animeUsers	13603
animeRank	
animePopularity	3346
animeDescription	Kyou no Go no Ni revolves around Sato Ryota, a 5th grader in an elementary school. He is a bright and active boy but always manages to get in to a bit of ecchi trouble with his female classmates.
animeRelated	['Kyou no 5 no 2', 'Kyou no 5 no 2 Kagai Jugyou: Mizukake', 'Kyou no 5 no 2 (TV)']
animeCharacters	['Satou, Ryouta', 'Koizumi, Chika', 'Aihara, Kazumi', 'Kawai, Tsubasa', 'Asano, Yuki', 'Hirakawa, Natsumi', 'Imai, Koji', 'Hidaka, Megumi']
animeVoices	['Kuwashima, Houko', 'Kadowaki, Mai', 'Noto, Mamiko', 'Chihara, Minori', 'Takahashi, Mikako', 'Yamamoto, Maria', 'Asakawa, Yuu', 'Ueda, Kana']
animeStaff	[['Noto, Takashi', 'Producer'], ['Suzuki, Atsushi', 'Producer'], ['Sokuza, Makoto', 'Director'], ['Nagasawa, Tsuyoshi', 'Director, Episode Director, Storyboard']]
