animeTitle	Koeda-chan
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2018-11-16 00:00:00
endDate	2019-01-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17494
animeDescription	A new Koeda-chan franchise web anime based on the Takara Tomy toy line. This particular series takes place solely in Koeda-chan's world.
animeRelated	['Midori no Kuni no Otomodachi: Koeda-chan', 'Koeda-chan CMs']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
