animeTitle	b'Floating Material'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	3158
animeRank	
animePopularity	
animeDescription	b'Shun is the only male teacher at Kyoukasen Girls\xe2\x80\x99 School, a well-known high class school also known as the \xe2\x80\x9cWater School\xe2\x80\x9d since it is situated in a forest and there is a lake on the school grounds. It is a place to heal the wounds of those girls who are hurt. He meets girls who shut off themselves from the world, those who don\xe2\x80\x99t have confidence in themselves, those who are still traumatized by their past. He decides to help them move forward with their lives.\n\n(Source: VNDB)'
animeRelated	[]
animeCharacters	[b'Uesato, Himari', b'Kirisaki, Ibu', b'Ousaka, Shun']
animeVoices	[b'\nIgarashi, Hiromi\nJapanese\n', b'\nTakahashi, Ao\nJapanese\n']
animeStaff	[]
