animeTitle	Iya na Kao sare nagara Opantsu Misete Moraitai 2
animeType	ONA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	8801
animeRank	
animePopularity	3605
animeDescription	A project where a number of women in different costumes show their panties while they make a disgusted face.
animeRelated	['Iya na Kao sare nagara Opantsu Misete Moraitai']
animeCharacters	['Itou, Chitose', 'Takayama, Maria', 'Hayakawa, Natsumi', 'Fujino, Riko', 'Futaba, Kano', 'Futaba, Yuno', 'Matsuura, Shiori']
animeVoices	['Ishigami, Shizuka', 'Hata, Sawako', 'Senbongi, Sayaka']
animeStaff	[['Kankitsu, Yusura', 'Script'], ['Murasaki, Yukiya', 'Script'], ['Miki, Nazuna', 'Script'], ['Araki, Shin', 'Script']]
