animeTitle	Morita-san wa Mukuchi. Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	2117
animeRank	
animePopularity	7576
animeDescription	"Unaired episodes of the ""Morita-san wa Mukuchi"" TV series bundled with the 5th manga volume."
animeRelated	['Morita-san wa Mukuchi', 'Morita-san wa Mukuchi.', 'Morita-san wa Mukuchi. 2']
animeCharacters	['Morita, Mayu', 'Matsuzaka, Hana', 'Murakoshi, Miki', 'Miura, Chihiro', 'Maki']
animeVoices	['Hanazawa, Kana', 'Nanjou, Yoshino', 'Tomatsu, Haruka', 'Hayami, Saori']
animeStaff	[['Hayashi, Naotaka', 'Director'], ['Karasuma, Ryou', 'Script'], ['Yamashita, Toshinari', 'Character Design'], ['Sano, Tae', 'Original Creator']]
