animeTitle	b'Break Blade: Virgins War'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	1361
animeRank	
animePopularity	
animeDescription	b'Fight between Nike and Narvi after both lose their Golems.\n\nIncluded in the Blu-ray Box release of the TV series.'
animeRelated	[b'Break Blade']
animeCharacters	[b'Stryze, Narvi', b'Nike']
animeVoices	[b'\nInoue, Marina\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAmino, Tetsuro\n\nDirector\n\n', b'\nHabara, Nobuyoshi\n\nDirector\n\n', b'\nSasaki, Sayaka\n\nTheme Song Performance\n\n', b'\nHirano, Yoshihisa\n\nMusic\n\n']
