animeTitle	Konchuu Monogatari Minashigo Hutch
animeType	TV
animeNumEpisode	91
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	1197
animeRank	
animePopularity	8827
animeDescription	"Hutch is a small honeybee who got separated from his mom when his home was destroyed by invading wasps, and he now desperately wants to find her back. It's the beginning of an adventure that will make him meet all kinds of friendly insects who try to help him out, but unfortunately for most of them, they will not survive the end of the episode... 

(Source: AniDB)"
animeRelated	['Shin Minashigo Hutch', 'Konchuu Monogatari Minashigo Hutch (1989)', 'Konchuu Monogatari Mitsubachi Hutch: Yuuki no Melody', 'Konchuu Monogatari Tentoumu Chu! to Mitsubachi Hatsu Chu!']
animeCharacters	['Hutch', 'Narrator', 'Bunkichi']
animeVoices	['Kuri, Youko', 'Maeda, Toshiko', 'Nozawa, Masako']
animeStaff	[['Tomino, Yoshiyuki', 'Episode Director'], ['Kuri, Ippei', 'Episode Director, Series Production Director'], ['Koyama, Takao', 'Script'], ['Shimazaki, Yuri', 'Theme Song Performance']]
