animeTitle	Gegege no Kitarou: Daikaijuu
animeType	Movie
animeNumEpisode	1
releaseDate	1996-07-06 00:00:00
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	293
animeRank	
animePopularity	11141
animeDescription	Movie based on the 1996 TV anime with an original plot.
animeRelated	['Gegege no Kitarou (1996)']
animeCharacters	['Kitarou', 'Medama Oyaji', 'Neko Musume', 'Nezumi Otoko', 'Babaa, Sunakake']
animeVoices	['Matsuoka, Youko', 'Tanonaka, Isamu', 'Nishimura, Chinami', 'Chiba, Shigeru', 'Yamamoto, Keiko']
animeStaff	[['Wada, Kaoru', 'Music'], ['Araki, Shingo', 'Character Design'], ['Himeno, Michi', 'Character Design'], ['Higashi, Junichi', 'Art Director']]
