animeTitle	Doll Saaya
animeType	OVA
animeNumEpisode	1
releaseDate	2001-07-27 00:00:00
endDate	
animeNumMembers	813
animeScore	4.77
animeUsers	252
animeRank	
animePopularity	11670
animeDescription	Once upon a time there was a guy. He had a toy doll named Saaya that he adored and had passion for. Later he came across the girl who was an exact copy of Saaya. He asked the girl to pose for him, and she agreed. However, for him she wasn't a person - all he wanted to see was his beloved Saaya...
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
