animeTitle	E's Otherwise
animeType	TV
animeNumEpisode	26
releaseDate	2003-04-01 00:00:00
endDate	2003-09-23 00:00:00
animeNumMembers	
animeScore	6.63
animeUsers	6171
animeRank	
animePopularity	4487
animeDescription	"Kai, who has powers different from the rest, together with his sickly sister Hikaru was protected by an organization called ASHURUM. Scouted by Eiji, Kai was delegated to the ASHURUM special force AESES and undergo intensive training. Whenever he was free, Kai visited Hikaru at the hospital belongs to the organization, but Hikaru's condition never improved. So, one year later, with amazing growth from the intensive training, Kai decides to escape from the organization.

(Source: ANN)"
animeRelated	"[""E's""]"
animeCharacters	['Kudou, Kai', 'Atsukawa, Asuka', 'Belvedere, Shen-Long', 'Tokugawa, Yuuki', 'Belvedere, Shin-Lu', 'Leonid', 'Feller, Maxim', 'Kudou, Hikaru', 'Maria', 'Sara']
animeVoices	['Tai, Yuuki', 'Kobayashi, Sanae', 'Nozawa, Masako', 'Matsumoto, Yasunori', 'Watanabe, Akeno', 'Suwabe, Junichi', 'Iida, Hiroshi', 'Mochizuki, Hisayo', 'Hiramatsu, Akiko']
animeStaff	[['Yamakawa, Norio', 'Producer'], ['Shimoda, Masami', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Nakayama, Katsuichi', 'Episode Director, Storyboard']]
