animeTitle	Bollogi Iyagi
animeType	ONA
animeNumEpisode	1
releaseDate	2003-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.45
animeUsers	310
animeRank	
animePopularity	12555
animeDescription	"An award winning surreal stop motion anime from Korea using noodles, about a little Bologee (a so-called convex boy) who was born on the Concave Planet. He desperately wants to get to a another planet called Convex Star.

When he finally manages to get there he falls in love with a girl from the Convex Planet. The people living there do not approve......"
animeRelated	[]
animeCharacters	['Bologee']
animeVoices	[]
animeStaff	[]
