animeTitle	Perman: Birdman ga Yatte Kita!!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.0
animeUsers	143
animeRank	
animePopularity	13468
animeDescription	"Screened as a triple feature with Doraemon: Nobita no Kaitei Kiganjou and Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki.

(Source: AniDB)"
animeRelated	['Doraemon Movie 04: Nobita no Kaitei Kiganjou', 'Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki', 'Perman (1983)']
animeCharacters	['Suwa, Mitsuo', 'Booby', 'Birdman', 'Sawada, Michiko', 'Kabao', 'Sabu']
animeVoices	['Miwa, Katsue', 'Ootake, Hiroshi', 'Yasuhara, Yoshito', 'Miura, Masako', 'Suzuki, Kiyonobu', 'Chiba, Shigeru']
animeStaff	[['Suzuki, Shinichi', 'Director, Animation Director'], ['Takashima, Akihiko', 'Music']]
