animeTitle	Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!
animeType	Movie
animeNumEpisode	1
releaseDate	2015-10-31 00:00:00
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	1222
animeRank	
animePopularity	8281
animeDescription	"Part 1, Cure Flora to Itazura Kagami, is a dialogue-less story featuring Cure Flora and a mischievous ghost in a mirror.

Part 2, Pumpkin Oukoku no Takaramono, features the four Precure girls from Go! Princess Precure trying to rescue a princess who is held captive.

Part 3, Precure to Refi no Wonder Night!, is set when the Night Kingdom lost its daytime. The Precure team fight to take the daytime back alongside the princess Refi.

(Source: Crunchyroll, Edited)"
animeRelated	['Go! Princess Precure']
animeCharacters	['Haruno, Haruka', 'Amanogawa, Kirara', 'Akagi, Towa', 'Kaidou, Minami', 'Puff', 'Nanase, Yui', 'Aroma', 'Pumplulu Princess', 'Shamour, Miss', 'Refi']
animeVoices	['Shimamura, Yuu', 'Yamamura, Hibiku', 'Sawashiro, Miyuki', 'Asano, Masumi', 'Touyama, Nao', 'Yoshimura, Haruka', 'Kokido, Shiho', 'Hanazawa, Kana', 'Shintani, Mayumi', 'Uegaki, Hinata']
animeStaff	[['Zako, Akifumi', 'Director'], ['Mito', 'Theme Song Composition, Theme Song Arrangement'], ['Every Little Thing', 'Theme Song Performance'], ['Oota, Kazuhiro', 'Key Animation']]
