animeTitle	b'Momokuri'
animeType	b'ONA'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	30445
animeRank	
animePopularity	
animeDescription	"b'After taking one hundred secret photos and observing him from afar for months, second-year high schooler Yuki Kurihara has finally mustered up the courage to ask out her first-year crush Shinya ""Momo"" Momotsuki. Although taken by surprise, the bashful Momo accepts; however, he does not know the profoundly abnormal truth. As her strait-laced friend, Norika Mizuyama, has observed, Yuki has developed some unnerving\xe2\x80\x94but nonetheless sincere\xe2\x80\x94habits: taking pictures of Momo in secret, doing extensive research into his personal life, collecting his used straws, and even going ""Momo watching.""\n\nThough Momo remains blissfully unaware of his new girlfriend\'s peculiar habits, he does notice some oddities in their daily conversations. Still unsure and nervous about his first relationship, Momo finds himself regularly getting into awkward interactions due to his inexperience, but nevertheless resolves to make his new girlfriend happy.\n\nMomokuri follows Yuki and Momo as they shyly explore their newfound love, and also deal with the problems that arise from it.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Momokuri']
animeCharacters	[b'Kurihara, Yuki', b'Momotsuki, Shinya', b'Mizuyama, Norika', b'Sakaki, Rio', b'Shimada, Yuzuki', b'Sawaguchi, Rihito', b'Sawaguchi, Ema', b'Usami, Seiichirou', b'Shizuka, Shouta', b'Usami, Ikue']
animeVoices	[b'\nKakuma, Ai\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nOozora, Naomi\nJapanese\n', b'\nMaeda, Rena\nJapanese\n', b'\nNakaya, Sayaka\nJapanese\n', b'\nYamaya, Yoshitaka\nJapanese\n', b'\nTakumi, Yasuaki\nJapanese\n', b'\nOno, Kensho\nJapanese\n', b'\nNagatsuka, Takuma\nJapanese\n', b'\nTakeshita, Reina\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHiraike, Yoshimasa\n\nDirector, Script, Series Composition\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nMochizuki, Mariko\n\nScript\n\n', b'\nShinozuka, Tomoko\n\nScript\n\n']
