animeTitle	b'Saki Picture Drama'
animeType	b'Special'
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	1351
animeRank	
animePopularity	
animeDescription	b'Saki picture drama included in the DVD volumes 3 through 9.'
animeRelated	[b'Saki']
animeCharacters	[b'Miyanaga, Saki', b'Haramura, Nodoka', b'Fukuji, Mihoko', b'Kataoka, Yuuki', b'Touyoko, Momoko', b'Kanbara, Satomi', b'Ryuumonbuchi, Touka', b'Ikeda, Kana', b'Kajiki, Yumi', b'Senoo, Kaori']
animeVoices	[b'\nUeda, Kana\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nSaitou, Momoko\nJapanese\n', b'\nKuwatani, Natsuko\nJapanese\n', b'\nChihara, Minori\nJapanese\n', b'\nMorinaga, Rika\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSaitou, Akari\n\nEditing\n\n']
