animeTitle	Donbe Monogatari
animeType	Special
animeNumEpisode	1
releaseDate	1981-04-26 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14996
animeDescription	"Researcher Mutsugoro takes his family to a remote and uninhabited island near Hokkaido, to study the local population of wild bears. Nearby poachers make his life difficult, and he ""inherits"" an orphaned bear cub, whom the family call Donbe and raise as one of their own."
animeRelated	[]
animeCharacters	['Donbe', 'Mutsugorou', 'Yase']
animeVoices	['Nagato, Hiroyuki']
animeStaff	[['Takada, Hiroshi', 'Theme Song Arrangement, Music'], ['Ookuma, Toshihiro', 'Art Director'], ['Fukuda, Gen', 'Animation Director, Character Design'], ['Tsunoda, Toshitaka', 'Animation Director']]
