animeTitle	Medaka Box Abnormal
animeType	TV
animeNumEpisode	12
releaseDate	2012-10-11 00:00:00
endDate	2012-12-27 00:00:00
animeNumMembers	126723
animeScore	7.43
animeUsers	63854
animeRank	1885
animePopularity	1343
animeDescription	"After the defeat of Myouri Unzen at the hands of Medaka Kurokami and her Student Council, peace has returned to Hakoniwa Academy—at least, for a short while. Soon, Medaka, Zenkichi Hitoyoshi, Kouki  Akune, and Mogana Kikaijima find themselves wrapped up in another sinister scheme, known as the ""Flask Plan,"" led by the school's principal himself.

However, the council's first problem is to deal with a whole new group of superhuman students calling themselves the ""Thirteen Party,"" led by the egotistical but powerful Oudo Miyakonojou. With the mysterious Flask Plan, Oudo's tyranny, and the resurfacing of an old enemy, the state of Hakoniwa Academy is far from tranquil, and Medaka and her companions have their hands full as things only get a lot more abnormal. 

[Written by MAL Rewrite]"
animeRelated	['Medaka Box']
animeCharacters	['Kurokami, Medaka', 'Hitoyoshi, Zenkichi', 'Kikaijima, Mogana', 'Kurokami, Maguro', 'Akune, Kouki', 'Kumagawa, Misogi', 'Ajimu, Najimi', 'Shiranui, Hansode', 'Naze, Youka', 'Nabeshima, Nekomi']
animeVoices	['Toyosaki, Aki', 'Shindou, Kei', 'Kayano, Ai', 'Suwabe, Junichi', 'Namikawa, Daisuke', 'Ogata, Megumi', 'Mizuki, Nana', 'Katou, Emiri', 'Sawashiro, Miyuki', 'Kotobuki, Minako']
animeStaff	[['Saeki, Shouji', 'Director, Episode Director, Script, Storyboard, Series Composition'], ['Watanabe, Jun', 'Sound Director'], ['Akamatsu, Yasuhiro', 'Episode Director, Director of Photography'], ['Ibata, Shouta', 'Episode Director, Storyboard, 2nd Key Animation']]
