animeTitle	Watashi wa, Kairaku Izonshou
animeType	OVA
animeNumEpisode	2
releaseDate	2016-02-26 00:00:00
endDate	2016-05-20 00:00:00
animeNumMembers	4558
animeScore	6.2
animeUsers	1693
animeRank	
animePopularity	7294
animeDescription	"Based on erotic manga by Yabitsu Hiro.

A dude has recently moved into an apartment complex with his pregnant wife, when he accidentally stumbles upon an orgy going on in one of the rooms. He decides to get in on the action since his wife ain't been fucking him lately. He fucks one of his teenage neighbors to get things started, and ends up fucking his landlady for good measure.

(Source: Hentai Haven)"
animeRelated	['Watashi wa, Kairaku Izonshou']
animeCharacters	['Kanrinin', 'Fuu']
animeVoices	[]
animeStaff	[]
