animeTitle	Beyond Creation
animeType	ONA
animeNumEpisode	1
releaseDate	2019-02-16 00:00:00
endDate	
animeNumMembers	1266
animeScore	6.39
animeUsers	550
animeRank	6736
animePopularity	10559
animeDescription	"Short animation produced and planned by the Live2D Creative Studio design team, starring Natsumi Fujiwara as the drawing boy Louie, and Haruka Tomatsu as the mysterious girl Epsilon.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
