animeTitle	Watashi to Watashi: Futari no Lotte
animeType	TV
animeNumEpisode	29
releaseDate	1991-11-09 00:00:00
endDate	1992-09-05 00:00:00
animeNumMembers	1082
animeScore	6.99
animeUsers	199
animeRank	3831
animePopularity	10942
animeDescription	Outspoken Luise and shy Lotte meet at summer camp and realize they are identical twins who were separated at birth by their divorced parents. The girls become friends and decide to switch places with each other so that they can each learn about the parent they never knew, and perhaps bring together their broken family.
animeRelated	[]
animeCharacters	['Parufi, Luise', 'Kellner, Lotte', 'Dad', 'Mrs. Gellach', 'Kogel, Linne', 'Annie', 'Hoover', 'Maria', 'Narrator', 'Parufi, Ludwig']
animeVoices	['Tsuru, Hiromi', 'Sakuma, Rei', 'Tomiyama, Kei', 'Han, Keiko', 'Adachi, Shinobu', 'Takano, Urara', 'Tsuji, Shinpachi', 'Araki, Kae', 'Kume, Akira', 'Toyama, Takashi']
animeStaff	[['Kodama, Kenji', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Yamamoto, Yasuichiro', 'Episode Director, Storyboard'], ['Tomobuki, Ami', 'Episode Director, Storyboard']]
