animeTitle	InuYasha Movie 2: Kagami no Naka no Mugenjo
animeType	Movie
animeNumEpisode	1
releaseDate	2002-12-21 00:00:00
endDate	
animeNumMembers	91923
animeScore	7.67
animeUsers	51252
animeRank	1139
animePopularity	1720
animeDescription	"Inuyasha and company have finally destroyed Naraku. And each start to go in their separate ways. Sango going to find her younger brother Kohaku; Miroku back to his old home; Inuyasha, Kagome and Shippou go to gather the rest of the Shikon shards. Unfortunately this peace is not to last. Shortly afterwards the full moon rises, and just keeps rising each night bringing with it the promise of danger. Kagura and Kanna go in search of a mirror, where locked inside is the ruler of the eternal night, Kaguya. To set her free they must gather five items and drop them into the five lakes of Fuji. Setting her free means the worst danger for Inuyasha and the others. Who are forced to face this new threat.

(Source: ANN)"
animeRelated	['InuYasha']
animeCharacters	['Inuyasha', 'Higurashi, Kagome', 'Sango', 'Miroku', 'Kaguya', 'Kikyou', 'Shippou', 'Kagura', 'Naraku', 'Kirara']
animeVoices	['Yamaguchi, Kappei', 'Yukino, Satsuki', 'Kuwashima, Houko', 'Tsujitani, Kouji', 'Harada, Mieko', 'Hidaka, Noriko', 'Watanabe, Kumiko', 'Oogami, Izumi', 'Morikawa, Toshiyuki']
animeStaff	[['Ueda, Masuo', 'Producer, Planning'], ['Shinohara, Toshiya', 'Director, Series Production Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Sumisawa, Katsuyuki', 'Script']]
