animeTitle	Blend
animeType	Movie
animeNumEpisode	1
releaseDate	2009-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.34
animeUsers	114
animeRank	
animePopularity	12786
animeDescription	This short experiments with the flow of oil ink over the surface of the water. Mizue manipulated the ink by blowing with straws or stirring with toothpicks and used stop motion animation techniques to shoot the resulting effects.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
