animeTitle	Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	2432
animeRank	
animePopularity	5923
animeDescription	Bundled with Hiiro no Kakera Taizen, a comprehensive illustration book on the six-year history of Idea Factory's Hiiro no Kakera romance game franchise, the OVA reveals the private lives of the five main characters.
animeRelated	['Hiiro no Kakera']
animeCharacters	['Onizaki, Takuma', 'Komura, Yuuichi', 'Atori, Mahiro', 'Oomi, Suguru', 'Inukai, Shinji', 'Takara, Kiyono', 'Kutani, Ryou', 'Ashiya, Masataka']
animeVoices	['Sugita, Tomokazu', 'Namikawa, Daisuke', 'Okano, Kousuke', 'Hirakawa, Daisuke', 'Shimowada, Hiroki', 'Mimori, Suzuko', 'Nomiya, Kazunori', 'Nagano, Yoshikazu']
animeStaff	[['Kazuki, Yone', 'Original Character Design'], ['Idea Factory', 'Original Creator']]
