animeTitle	Ura Jutaijima
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	2824
animeRank	
animePopularity	6166
animeDescription	"A deadly virus that is cured by ingesting semen?! Sounds like a dream come true....but when there's only one male on the entire island and 4 girls to take care of... it starts to take it's toll.

(Source: hanimetv)"
animeRelated	['Jutaijima']
animeCharacters	['Kisaragi, Rei', 'Toume, Akira']
animeVoices	['Mizuguchi, Matsuri']
animeStaff	[['Raika, Ken', 'Director'], ['Butcha-U', 'Original Character Design'], ['Lune', 'Original Creator']]
