animeTitle	Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	423
animeRank	
animePopularity	11041
animeDescription	"Kosukesama Rikimarusama: Konpeito no Ryu was a 45 minute long anime TV special produced by J.C. Staff and broadcast on Japanese television in 1988. Similar to Dragon Ball, it was a martial arts adventure story featuring villains that could have stepped out of the Red Ribbon Army, typical Toriyama mecha, and a clone of Son Gohan's Haiya Dragon.
(Source: animenation.net)"
animeRelated	[]
animeCharacters	['Kosuke', 'Rikimaru', 'Yamada, Hachiro', 'Commando, Michael', 'Sanpei', 'Tanukikouji, Sakurako']
animeVoices	['Matsuoka, Youko', 'Oota, Takako', 'Otsuka, Chikao', 'Koseki, Hajime', 'Oikawa, Hiroo', 'Nishihara, Kumiko']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Ashida, Toyoo', 'Script, Screenplay, Animation Director'], ['Hagita, Mitsuo', 'Theme Song Arrangement'], ['Toriyama, Akira', 'Character Design']]
