animeTitle	Happy Happy Party!
animeType	Music
animeNumEpisode	1
releaseDate	2017-04-13 00:00:00
endDate	
animeNumMembers	1656
animeScore	6.24
animeUsers	799
animeRank	7470
animePopularity	9942
animeDescription	"Music video of ""Happy Happy Party"" included in the 5th Single CD of Poppin' Party."
animeRelated	['Yes! BanG_Dream!', 'Star Beat!: Hoshi no Kodou', 'Hashiri Hajimeta bakari no Kimi ni', 'BanG Dream!']
animeCharacters	['Ichigaya, Arisa', 'Toyama, Kasumi', 'Yamabuki, Saaya', 'Hanazono, Tae', 'Ushigome, Rimi']
animeVoices	[]
animeStaff	[]
