animeTitle	Inazuma Eleven Go
animeType	TV
animeNumEpisode	47
releaseDate	2011-05-04 00:00:00
endDate	2012-04-11 00:00:00
animeNumMembers	
animeScore	6.95
animeUsers	39272
animeRank	
animePopularity	2160
animeDescription	"Tenma Matsukaze is a new student at Raimon Junior High. Due to his love for soccer, he decides to join the school soccer team, which gained its reputation after the amazing performance shown ten years earlier in the Football Frontier International, a tournament that hosts the best youth teams the world has to offer. Unfortunately, the once renowned school doesn't have the soccer spirit it once enjoyed.

This is primarily due to the fact that soccer in Japan is now controlled by a dark entity known as the ""Fifth Sector."" They alone decide the fate of every match, instructing teams to either win or lose. The actions of the Fifth Sector have beaten down the country’s soccer teams, who no longer have a love for the game.

Tenma and his teammates will look to shift this paradigm and fight back against their evil oppressors. Thankfully, they will not be alone in this battle, as they will get help from a group known as the ""Resistance."" Cheer on the boys of Inazuma Eleven Go as they fight the good fight!"
animeRelated	['Inazuma Eleven Go', 'Inazuma Eleven', 'Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon', 'Inazuma Eleven Go Specials', 'Inazuma Eleven Go: Chrono Stone', 'Inazuma Eleven: Orion no Kokuin', 'Inazuma Eleven Go vs. Danball Senki W Movie']
animeCharacters	['Endou, Mamoru', 'Gouenji, Shuuya', 'Tsurugi, Kyousuke', 'Matsukaze, Tenma', 'Shindou, Takuto', 'Nishizono, Shinsuke', 'Fubuki, Shirou', 'Kidou, Yuuto', 'Kiyama, Hiroto', 'Afuro, Terumi']
animeVoices	['Takeuchi, Junko', 'Nojima, Hirofumi', 'Ohara, Takashi', 'Terasaki, Yuka', 'Saiga, Mitsuki', 'Tomatsu, Haruka', 'Miyano, Mamoru', 'Yoshino, Hiroyuki', 'Mizushima, Takahiro', 'Sanpei, Yuuko']
animeStaff	[['Akiyama, Katsuhito', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Suzuki, Kenichi', 'Episode Director, Storyboard'], ['Tomiyasu, Daiki', 'Episode Director']]
