animeTitle	b'Zukkoke Sannin-gumi no Bousai Kyoushitsu'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'An educational earthquake disaster prevention video for kids featuring the Zukkoke Sannin-gumi cast.'
animeRelated	[b'Sore Ike! Zukkoke Sannin-gumi', b'Zukkoke Sannin-gumi: Zukkoke Jikuu Bouken', b'Zukkoke Sannin-gumi no Hi Asobi Boushi Daisakusen', b'Zukkoke Sannin-gumi no Jitensha Kyoushitsu', b'Zukkoke Sannin-gumi no Koutsuu Anzen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
