animeTitle	b'Generator Gawl'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	3103
animeRank	
animePopularity	
animeDescription	b'Ryo, Gawl and Koji are 3 young boys who travel back into the past with only 1 objective: change history. In their time they discover that their country, Kubere, uses genetically enhanced persons called generators as a military tool. These generators are the cause for the Third War which kills most of the human population. Now Koji, Ryo and Gawl are there to change all the events. \n\n(Source: ANN) '
animeRelated	[b'Generator Gawl']
animeCharacters	[b'Kudo, Gawl', b'Ryo', b'Suzuki, Koji', b'Saito, Ryuko', b'Masami', b'Keiko', b'Kanae', b'Nekasa, Takuma', b'Natsume']
animeVoices	[b'\nCanna, Nobutoshi\nJapanese\n', b'\nKashiwakura, Tsutomu\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nYamaguchi, Yuriko\nJapanese\n', b'\nYukino, Satsuki\nJapanese\n', b'\nShioya, Yoku\nJapanese\n', b'\nYoshida, Konami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMizushima, Seiji\n\nDirector, Episode Director, Storyboard\n\n', b'\nMima, Masafumi\n\nSound Director, Music\n\n', b'\nTakadera, Takeshi\n\nSound Director, Sound Manager\n\n', b'\nKigami, Yoshiji\n\nEpisode Director, Storyboard, Key Animation\n\n']
