animeTitle	b'Mojakou'
animeType	b'TV'
animeNumEpisode	74
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	1052
animeRank	
animePopularity	
animeDescription	"b""Sorao is an ordinary student who lives an ordinary everyday life of a typical kid, accidentally makes friends with two aliens stranded here on Earth. His life changes as he decides to help them find a way to get home. When they do reach the aliens' homeworld, Sorao along with Miki, discovered a blood feud between two different tribes. Things gone awry as the tribes' representatives try to out do one another in search of the missing treasure of the past with the help of an uncovered clue.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Mojackou', b'Pitekan', b'Mojaru']
animeVoices	[b'\nTanaka, Mayumi\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nEndou, Tetsuya\n\nDirector, Script, Storyboard, Series Composition\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nAsada, Yuuji\n\nEpisode Director, Storyboard\n\n', b'\nIshizaki, Susumu\n\nEpisode Director, Storyboard\n\n']
