animeTitle	Kiki to Lala no Aoi Tori
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13779
animeDescription	Adventures of Kiki and Lala in search of happiness.
animeRelated	['Hello Kitty no Cinderella', 'My Melody no Akazukin', 'Kiki to Lala no Hansel to Gretel', 'Kiki to Lala no Ohimesama ni Naritai', 'Kiki to Lala no Hakuchouza no Ohimesama', 'Kiki to Lala no Papa to Mama ni Aitai', 'Kiki to Lala no Hoshi no Dance Shoes', 'Kiki to Lala no Habatake! Pegasus', 'Kiki to Lala no Mamatte Suteki!']
animeCharacters	['Lala', 'Kiki']
animeVoices	[]
animeStaff	[['Hata, Masami', 'Director, Chief Animation Director'], ['Terada, Kenji', 'Script'], ['Satou, Masahiko', 'Theme Song Composition'], ['Miwa, Katsue', 'Inserted Song Performance']]
