animeTitle	b'Junk Boy'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.92
animeUsers	3305
animeRank	
animePopularity	
animeDescription	b'23-year-old Ryohei Yamazaki has just one thing on his mind: sex. And with his sweet-talking, honey-voiced ways, Ryohei has no trouble finding interested ladies. But none of them is just what he wants... none of them is PERFECT. Then he charms the beautiful editor of a hot magazine into hiring him. Journalism will never be the same again...\n\n(Source: Rotten Tomatoes)'
animeRelated	[b'Junk Boy']
animeCharacters	[b'Yamazaki, Ryohei', b'Oda, Yuki', b'Newscaster', b'Shiroyama, Tsugunobu', b'Sawamoto, Aki', b'Kanda, Mika', b'Arizono, Miru', b'Manai, Tetsu']
animeVoices	[b'\nKusao, Takeshi\nJapanese\n', b'\nFujita, Toshiko\nJapanese\n', b'\nShinohara, Emi\nJapanese\n', b'\nNanba, Keiichi\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nMinaguchi, Yuko\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaruyama, Masao\n\nProducer\n\n', b'\nYamada, Katsuhisa\n\nDirector\n\n', b'\nHonda, Yasunori\n\nSound Director\n\n', b'\nFukushima, Hiroyuki\n\nScript, Screenplay\n\n']
