animeTitle	Furidashi
animeType	Movie
animeNumEpisode	1
releaseDate	2016-01-01 00:00:00
endDate	
animeNumMembers	170
animeScore	
animeUsers	
animeRank	15636
animePopularity	16638
animeDescription	"You always stumble before you arrive. The glass in your hand gets chipped with every fall. Then, you start  again. However, there are things you can discover only through repetition. The answer resides in yourself.

(Source: YouTube)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
