animeTitle	Dr. Slump: Arale-chan Specials
animeType	Special
animeNumEpisode	2
releaseDate	1981-10-07 00:00:00
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	194
animeRank	
animePopularity	11736
animeDescription	A special two-part episode that aired between episodes 24 and 25 of Dr. Slump: Arale-chan.
animeRelated	['Dr. Slump: Arale-chan']
animeCharacters	['Norimaki, Arale', 'Norimaki, Senbei']
animeVoices	['Koyama, Mami', 'Utsumi, Kenji']
animeStaff	[['Toriyama, Akira', 'Original Creator'], ['Nakatsuru, Katsuyoshi', 'Character Design']]
