animeTitle	Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?
animeType	OVA
animeNumEpisode	1
releaseDate	2010-07-16 00:00:00
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	2616
animeRank	
animePopularity	6301
animeDescription	An OVA that takes place during the manga's middle school storyline.
animeRelated	['Zettai Karen Children']
animeCharacters	['Akashi, Kaoru', 'Minamoto, Kouichi', 'Kumoi, Yuuri', 'Hyoubu, Kyousuke', 'Sannomiya, Shiho', 'Nogami, Aoi', 'Momotarou', 'Sakaki, Shuuji', 'Tamaki, Kazura', 'Tokiwa, Natsuko']
animeVoices	['Hirano, Aya', 'Nakamura, Yuuichi', 'Inoue, Marina', 'Yusa, Kouji', 'Tomatsu, Haruka', 'Shiraishi, Ryouko', 'Kugimiya, Rie', 'Taniyama, Kishou', 'Katou, Emiri', 'Nakao, Eri']
animeStaff	[['Matsuda, Akio', 'Producer'], ['Kawaguchi, Keiichirou', 'Director, Storyboard'], ['Matsuoka, Hiroki', 'Sound Director'], ['Inotsume, Shinichi', 'Script']]
