animeTitle	b'Mobile Suit Gundam F91'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	13884
animeRank	
animePopularity	
animeDescription	"b'In the year 123 of the Universal Century, skirmishes between the Federation government and the rebel group Crossbones Vanguard echo across Earth\'s space colonies. One of these small battles breaks in the hometown of young Seabook Arno, forcing him and his friends to flee and ensnaring them in the political turmoil that is quickly evolving into an all-out war.\n\nSeabook meets Cecily Fairchild, granddaughter of the aristocrat Meitzer Ronah, who seeks to create a new political power called ""Cosmo Babylonia."" Using the Crossbone Vanguard as its muscle, the Ronah family schemes to restore aristocratic rule and establish an economic system that will benefit the nobility, thus devastating the quality of life for the common people of the Earth Sphere.\n\nSeabook is tasked with piloting the Gundam F91, a mobile suit created by his mother, and must choose between protecting the status Federation\'s status quo or cooperating with Cecily to find a better way of life for all.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kidou Senshi Gundam F91', b'Kidou Senshi Gundam F91: Crossbone Vanguard', b'Mobile Suit Victory Gundam', b'Mobile Suit Gundam Unicorn', b'Mobile Suit Gundam: Twilight Axis - Akaki Zan-ei', b'Mobile Suit Gundam: Hikaru Inochi Chronicle U.C.']
animeCharacters	[b'Arno, Seabook', b'Fairchild, Cecily', b'Ronah, Carozzo', b'Chareux, Zabine', b'Maujin, Migen', b'Editoh, Minmi', b'Arno, Monica', b'Panopa, Manuela', b'Edaberry, Leahlee', b'Hein, Kochun']
animeVoices	[b'\nTsujitani, Kouji\nJapanese\n', b'\nTouma, Yumi\nJapanese\n', b'\nMaeda, Masaaki\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n', b'\nKoujiro, Chie\nJapanese\n', b'\nChihara, Eriko\nJapanese\n', b'\nShouji, Miyoko\nJapanese\n', b'\nIchiryuusai, Teiyuu\nJapanese\n', b'\nYokoo, Mari\nJapanese\n', b'\nYoshida, Konami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYatate, Hajime\n\nProducer\n\n', b'\nTomino, Yoshiyuki\n\nDirector, Script, Storyboard, Original Creator\n\n', b'\nFujino, Sadayoshi\n\nSound Director\n\n', b'\nItou, Tsunehisa\n\nScript\n\n']
