animeTitle	b'Leopard Eyes'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	1161
animeRank	
animePopularity	
animeDescription	"b'Official music video for TRIGGER\'s song Leopard Eyes also released on the album ""SECRET NIGHT."" The male idol group is primarily a rival to IDOLiSH7, the latter of which is also the name of the overall game franchise being adapted. '"
animeRelated	[b'IDOLiSH7', b'Daybreak Interlude', b'Crescent Rise']
animeCharacters	[b'Kujou, Ten', b'Yaotome, Gaku', b'Tsunashi, Ryuunosuke']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTanemura, Arina\n\nOriginal Character Design\n\n']
