animeTitle	Tokimeki Restaurant☆☆☆  MIRACLE6 Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2018-02-10 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	9923
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Date, Kyouya', 'Kanzaki, Tooru', 'Fuwa, Kento', 'Tsuji, Kaito', 'Kirishima, Tsukasa', 'Otowa, Shinnosuke']
animeVoices	['Toriumi, Kousuke', 'Eguchi, Takuya', 'Hino, Satoshi', 'Kakihara, Tetsuya', 'Namikawa, Daisuke', 'Kishio, Daisuke']
animeStaff	[['Morihiro, Fumi', 'Producer'], ['Kon, Chiaki', 'Director, Animation Director'], ['Nakazawa, Kazuto', 'Key Animation'], ['Morishita, Katsuji', 'Executive Producer']]
