animeTitle	Cosplay Roshutsu Kenkyuukai
animeType	OVA
animeNumEpisode	2
releaseDate	2011-04-22 00:00:00
endDate	2011-07-22 00:00:00
animeNumMembers	4354
animeScore	6.08
animeUsers	1552
animeRank	
animePopularity	7418
animeDescription	"Aya, a waitress at a cosplay cafe, receives an E-mail asking her to go to an anime convention, for which she'll be paid as much as she wants, but with one condition: to obey all the males' orders. She ends up going out of curiosity, but the normal perversity among the otaku and her own dirty thoughts turn the photo session into an exhibitionism session. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Hinata, Aya']
animeVoices	['Ogura, Yui']
animeStaff	[['Kurotsuguchi, Narue', 'Director, Episode Director'], ['Pin-Point', 'Original Creator'], ['Shinkai, Kouki', 'Editing'], ['Satou, Masaru', 'Art Director']]
