animeTitle	Super Zugan
animeType	TV
animeNumEpisode	21
releaseDate	1992-10-09 00:00:00
endDate	1993-03-13 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12798
animeDescription	A story about mahjong.
animeRelated	[]
animeCharacters	['Toyotomi, Hideyuki', 'Hayami, Akina', 'Tokugawa, Yasubee', 'Akechi, Kouichi', 'Oda, Shintaro', 'Santa']
animeVoices	['Yamaguchi, Kappei', 'Ohtsubo, Junko', 'Tatsuta, Naoki', 'Nanba, Keiichi', 'Yamadera, Kouichi']
animeStaff	[['Nishimura, Junji', 'Director'], ['Minami, Haruo', 'Theme Song Performance'], ['Nakajima, Atsuko', 'Character Design'], ['Miura, Satoshi', 'Animation Director']]
