animeTitle	b'Yakiniku-ten Sengoku'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The story centers on Souji, who is kind but extremely timid. Souji, whose nickname is Mop, starts his first job at the neighborhood yakiniku shop ""Sengoku."" He struggles and grows together will his unique coworkers at the shop. \n\n(Source: ANN)'"
animeRelated	[]
animeCharacters	[b'Shachigashira, Aoi']
animeVoices	[b'\nTakeda Tago, Larissa\nJapanese\n']
animeStaff	[]
