animeTitle	Bakusou Kyoudai Let's & Go MAX
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	1663
animeRank	
animePopularity	8174
animeDescription	"The story follows the life of Retsuya and Gouki, two brothers with the same objective as Go and Retsu, to race and win championships!

The two new brothers are faced with various traps set by an evil organization...together, along with other friends, they try to enjoy their races as much as possible, showing off their competitive spirit and taking down any kind of evil that might put the sport they love so much at risk!"
animeRelated	"[""Bakusou Kyoudai Let's & Go!! MAX"", ""Bakusou Kyoudai Let's & Go WGP""]"
animeCharacters	['Ichimoji, Gouki', 'Oogami, Marina', 'Ichimoji, Retsuya', 'Seiba, Retsu', 'Seiba, Go', 'Hattori, Tappei', 'Kusanagi, Zen', 'Kusanagi, Zin']
animeVoices	['Watanabe, Kumiko', 'Ikezawa, Haruna', 'Hidaka, Noriko', 'Fuchizaki, Yuriko', 'Noda, Junko', 'Asakawa, Yuu']
animeStaff	[['Kato, Takao', 'Director'], ['Murayama, Kiyoshi', 'Episode Director'], ['Inoue, Osamu', 'Episode Director, Storyboard'], ['Hoshiyama, Hiroyuki', 'Script']]
