animeTitle	Prism Ark
animeType	TV
animeNumEpisode	12
releaseDate	2007-10-08 00:00:00
endDate	2007-12-24 00:00:00
animeNumMembers	
animeScore	6.43
animeUsers	7830
animeRank	
animePopularity	3897
animeDescription	"The Sablum Empire has been attempting to take over the kingdom of Windland for many years, and are now plotting with the mercenaries Sister Hell and Darkness Knight to start a new offensive using powerful magical beings called Angels. 

Hyaweh, a carefree yet talented swordsman, and Priecia, who just might be the lost princess of Windland, are enrolled at the Knight's Academy in Windland to hone their skill at swords and sorcery. There they meet many friends and allies who can help them protect their homeland from the impending invasion. "
animeRelated	['Prism Ark Specials', 'Prism Magical: Prism Generations!']
animeCharacters	['Priecia', 'Hyaweh', 'Theresa', 'Fel', 'Kagura', 'Mibu, Karin', 'Filia', 'Litte', 'Bridget', 'von Ferdinand, Jung']
animeVoices	['Sakakibara, Yui', 'Kakihara, Tetsuya', 'Asakawa, Yuu', 'Mizuhashi, Kaori', 'Nabatame, Hitomi', 'Matsui, Naoko', 'Momoi, Haruko', 'Koyama, Kimiko', 'Asumi, Kana']
animeStaff	[['Oobari, Masami', 'Director, Episode Director, Storyboard, Key Animation'], ['Kameyama, Toshiki', 'Sound Director'], ['Yoshida, Tooru', 'Episode Director, Storyboard, Key Animation'], ['Saitou, Yoshinari', 'Episode Director, Key Animation, Animation Director']]
