animeTitle	Mori no Densetsu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	833
animeRank	
animePopularity	9906
animeDescription	"A tranquil forest and all of its residents must face the destruction of man. A squirrel, born and raised in the forrest, fights to defend his home and faces trials and adversities along the way.

(Source: ANN)"
animeRelated	['Mori no Densetsu: Dai Ni Gakushou']
animeCharacters	['Flying Squirrel']
animeVoices	[]
animeStaff	[['Tezuka, Osamu', 'Director'], ['Kawajiri, Yoshiaki', 'Key Animation'], ['Kurahashi, Shizuo', 'Sound Effects'], ['Suzuki, Shinichi', 'Key Animation']]
