animeTitle	Maple Town Monogatari
animeType	TV
animeNumEpisode	52
releaseDate	1986-01-19 00:00:00
endDate	1987-01-11 00:00:00
animeNumMembers	
animeScore	6.79
animeUsers	588
animeRank	
animePopularity	9199
animeDescription	"Maple Town Stories is about friendship, adventure and the troubles the children (Patty Rabbit, Bobby Bear and Fanny Fox) who are the main characters of the show, fall into. Wild Wolfe is a homeless thief who lives in the forest and usually steals from the town and does other mischief, but the kids are always there to stop him and set things right slowly making him understand the wrongs of his ways.

(Source: ANN)"
animeRelated	['Shin Maple Town Monogatari: Palm Town-hen', 'Maple Town Monogatari (Movie)']
animeCharacters	['Patty', 'Diana', 'Bobby Bear', 'Gretel', 'Mick', 'Ann', 'Mireille']
animeVoices	['Okamoto, Maya', 'Shou, Mayumi', 'Shioya, Yoku', 'Yara, Yuusaku', 'Han, Keiko', 'Kawashima, Chiyoko']
animeStaff	[['Ikuhara, Kunihiko', 'Co-Director'], ['Takahashi, Naoko', 'Assistant Producer'], ['Satou, Junichi', 'Director, Episode Director, Storyboard'], ['Kakudou, Hiroyuki', 'Episode Director']]
