animeTitle	Ane wa Yanmama Junyuu-chuu
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.67
animeUsers	9302
animeRank	
animePopularity	4364
animeDescription	This story about a married woman, as is usual in such stories sexually unsatisfied in married life, and decided to make up for lost time with her brother, who came to stay with her husband and children. What started as a harmless joke on a drunken bench, will grow into a constant frenzied sex always and everywhere, at any convenient opportunity.
animeRelated	['Ane wa Yanmama Junyuu-chuu']
animeCharacters	['Aika']
animeVoices	['Mizuguchi, Matsuri']
animeStaff	[['Raika, Ken', 'Director']]
