animeTitle	Idol Kouhosei
animeType	OVA
animeNumEpisode	1
releaseDate	2013-02-13 00:00:00
endDate	
animeNumMembers	2947
animeScore	5.77
animeUsers	1068
animeRank	
animePopularity	8419
animeDescription	"It's a new century and men have lost their sexual desires thus decreasing the number of marriages and births. In order to repopulate the world, the government decided to start a program to improve men's sex lives. Sex idols, girls who can sing, dance, and have sex with innumerable men, are now in need to help improve the stagnant society.

(Source: HentaiTake)"
animeRelated	[]
animeCharacters	['Shizuka', 'Ami', 'Kei']
animeVoices	['Kisaki, Mia', 'Momoya, Minami']
animeStaff	[['Oota, Hideta', 'Director']]
