animeTitle	b'Oshiri Kajiri Mushi (TV)'
animeType	b'TV'
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	5.1
animeUsers	441
animeRank	
animePopularity	
animeDescription	"b""A gag comedy about Oshiri Kajiri Mushi XVIII, a 10-year-old insect who goes to Biting School to inherit his family's Biting Shop business. \n\n(Source: ANN) """
animeRelated	[b'Oshiri Kajiri Mushi', b'Oshiri no Yama wa Everest', b'Oshiri Kajiri Mushi (TV) 2nd Season']
animeCharacters	[b'Oshiri Kajiri Mushi XVIII']
animeVoices	[b'\nKaneda, Tomoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKojima, Masayuki\n\nDirector\n\n', b'\nKozutsumi, Pon\n\nDirector\n\n', b'\nSugiura, Pierre\n\nScript\n\n', b'\nUrumaDelvi\n\nCharacter Design, Original Creator\n\n']
