animeTitle	Ryo
animeType	Movie
animeNumEpisode	1
releaseDate	2013-03-02 00:00:00
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	5857
animeRank	
animePopularity	4915
animeDescription	"During the turbulent end of the Tokugawa era, many children became war orphans. One of these orphans, a nameless son of a samurai, ends up meeting Ryouma Sakamoto, a man working against the Bakufu government. Impressed by the orphan's skill with a blade, Ryouma gives him the name ""Ryo"" and lets him travel by his side.

[Written by MAL Rewrite]"
animeRelated	['Arve Rezzle: Kikaijikake no Yousei-tachi', 'Little Witch Academia', 'Death Billiards']
animeCharacters	['Sakamoto, Ryouma', 'Midori']
animeVoices	['Fujiwara, Keiji', 'Yanagawa, Akari']
animeStaff	[['Chigira, Kouichi', 'Director'], ['Kuroishi, Hitomi', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement, Music'], ['Iwata, Keiko', '2nd Key Animation'], ['Takaoka, Junichi', 'Character Design, Animation Director']]
