animeTitle	Saiyuuki Reload Gunlock
animeType	TV
animeNumEpisode	26
releaseDate	2004-04-02 00:00:00
endDate	2004-09-24 00:00:00
animeNumMembers	20610
animeScore	7.41
animeUsers	7450
animeRank	1929
animePopularity	3952
animeDescription	"The Sanzo Ikkou continues its westward journey, on a mission to prevent a demonic resurrection. As Genjo Sanzo, Cho Hakkai, Sha Gojyo, and Son Goku fight their way to their goal, their path is fraught with internal strife. When they encounter a formidable pair of adversaries from the west, the cohesion of the group -- and the fate of the mission -- may be at stake. 

(Source: ANN)"
animeRelated	['Saiyuuki Reload', 'Saiyuuki Reload Blast', 'Saiyuuki Reload: Zeroin']
animeCharacters	['Genjou, Sanzou', 'Son, Gokuu', 'Cho, Hakkai', 'Sha, Gojou', 'Kougaiji', 'Jianyi, Ni', 'Koumyou, Sanzo', 'Lirin', 'Jeep', 'Bosatsu, Kanzeon']
animeVoices	['Seki, Toshihiko', 'Hoshi, Souichirou', 'Ishida, Akira', 'Hirata, Hiroaki', 'Kusao, Takeshi', 'Ootsuka, Houchuu', 'Narita, Ken', 'Kawakami, Tomoko', 'Okajima, Tae', 'Igarashi, Rei']
animeStaff	[['Endou, Tetsuya', 'Director, Sound Director, Episode Director, Script, Storyboard, Series Composition'], ['Machida, Touko', 'Script'], ['Tomonaga, Korie', 'Script'], ['Kageyama, Shigenori', 'Storyboard']]
