animeTitle	Padak Padak
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	290
animeRank	
animePopularity	12173
animeDescription	"A mackerel from the sea attempts to escape from a restaurant! Padak is a mackerel from the sea, who is caught in a net and gets dumped into a restaurant tank. An old flatfish is the only one that's survived very long. He gains the trust of other fish with his survival skills. Thanks to Padak, who attempts to make it back to the ocean, the peace in the tank is shattered and conflicts with the old flatfish get bigger and bigger.

(Source: IMDb)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
