animeTitle	BIGOTRE Capture Mission
animeType	ONA
animeNumEpisode	3
releaseDate	2020-04-06 00:00:00
endDate	2020-05-30 00:00:00
animeNumMembers	184
animeScore	
animeUsers	
animeRank	14997
animePopularity	16325
animeDescription	Web commercials for Tokyo handbag company BIGOTRE that were posted on their official Instagram account. The commercials simulate mission briefings for a fictitious video game where players capture specific handbags in the SS20 (Spring/Summer 2020) BIGOTRE lookbook lineup.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
