animeTitle	Shin Kaitei Gunkan
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	564
animeRank	
animePopularity	9828
animeDescription	"Moments after an atomic bomb falls over Hiroshima, a secret Japanese submarine sails into battle against its American counterpart, and both are lost to history. Some fifty years later, a special UN task force sent to investigate unusual phenomena in Antarctica is threatened by a mysterious black cylinder.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Avatar', 'Annette', 'Arisaka, Go', 'Nishimura, Koutarou', 'Kageyama, Mitsugu', 'Hyuga, Magane']
animeVoices	['Inoue, Kikuko', 'Iwao, Junko', 'Seki, Tomokazu', 'Chikaishi, Shinsuke', 'Sagawa, Tetsurou']
animeStaff	[['Katayama, Kazuyoshi', 'Director, Storyboard'], ['Yasuhiko, Yoshikazu', 'Character Design'], ['Araki, Hideki', 'Key Animation'], ['Saitou, Hisashi', 'Key Animation']]
