animeTitle	b'Susume! Godzilland'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Advance! Godzilland is a series of four educational OVAs released on VHS in 1994 and 1996 by Gakken. They use Godzilla and other kaiju to teach children about hiragana, counting, addition, and subtraction. '
animeRelated	[]
animeCharacters	[b'Godzilla', b'Mothra', b'Anguirus']
animeVoices	[b'\nMita, Yuuko\nJapanese\n', b'\nIkura, Kazue\nJapanese\n', b'\nIwao, Junko\nJapanese\n']
animeStaff	[]
