animeTitle	b'Saiko Robot Kombock'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.39
animeUsers	1968
animeRank	
animePopularity	
animeDescription	"b'The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they\'ve even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes.\n\nWill they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!!\n\n(Source: AniDB)'"
animeRelated	[]
animeCharacters	[b'Kombock', b'Tsurugi, Ichirou', b'Abby', b'Dondon', b'Raska', b'Chip', b'Mong', b'Professor K', b'Cerebrix', b'Maximix']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHabara, Nobuyoshi\n\nSeries Production Director\n\n', b'\nKahn, Alfred R.\n\nExecutive Producer\n\n', b'\nHirano, Yasushi\n\nSeries Composition\n\n']
