animeTitle	Tian Xin Ge Ge
animeType	TV
animeNumEpisode	52
releaseDate	2011-10-04 00:00:00
endDate	2011-11-24 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14604
animeDescription	A Chinese prince meets a regular civilian during his travels and quickly falls in love. They marry and have a daughter, but the prince is soon separated from them during a rebellion. Many years later, the prince has become emperor and locates his lost daughter. She comes to live with him, but unfortunately has picked up several unrefined habits during her times as a civilian.
animeRelated	['Tian Xin Ge Ge 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
