animeTitle	Galerians: Rion
animeType	OVA
animeNumEpisode	3
releaseDate	2002-04-24 00:00:00
endDate	
animeNumMembers	2975
animeScore	5.46
animeUsers	1194
animeRank	10490
animePopularity	8391
animeDescription	"Six years have passed since Rion discovered his own identity as an artificial being, yet succeeded in destroying the genocidal Mother Computer, Dorothy, before perishing himself. Now reactivated by Lilia, Rion awakens to find that Dorothy managed to execute one final catastrophic program, rendering a new evil crew to finish her goal of human annihilation. It is a fully 3D CGI animated OVA based on the hit PlayStation game, called Galerians, released in August, 1999.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Steiner, Rion', 'Birdman', 'Rita', 'Cain', 'Lilia', 'Rainheart', 'Dr. Steiner', 'Steiner, Elsa', 'Dorothy', 'Dr. Pascalle']
animeVoices	['Ishida, Akira', 'Koyasu, Takehito', 'Imai, Yuka', 'Kikuchi, Shiho', 'Suzumura, Kenichi', 'Kinomiya, Ryouko']
animeStaff	[['Tajima, Shouu', 'Character Design']]
