animeTitle	Jashin-chan Dropkick Episode 12
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.11
animeUsers	11617
animeRank	
animePopularity	3880
animeDescription	"""It"" was believed to be traveling in space, but, ""I'm back, guys!"" Due to popular demand, we decided to bring Jashin-chan back for an extra episode! What will she face when she returns to Earth? Yurine, Medusa, Pekola, Minos, Yusa, Koji and Peru-chan are all in for the ""swimsuit edition""! Then appears Kraken for what seemed like the last battle of the season, but the real battle continues...

(Source: Amazon Prime Video)"
animeRelated	"['Jashin-chan Dropkick', ""Jashin-chan Dropkick'""]"
animeCharacters	['Hanazono, Yurine', 'Jashin-chan', 'Pekora', 'Minos', 'Medusa', 'Persephone II', 'Yusa', 'Devil A', 'Kouji', 'Tachibana, Mei']
animeVoices	['Yusa, Kouji']
animeStaff	[['Satou, Hikaru', 'Director'], ['Imaizumi, Yuuichi', 'Sound Director'], ['Fudeyasu, Kazuyuki', 'Script, Series Composition'], ['Yukiwo', 'Original Creator']]
