animeTitle	b'ClassicaLoid'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	4568
animeRank	
animePopularity	
animeDescription	"b'Ever since her father used up the last of the family fortune and skipped town, Kanae Otowa has lived in her family\'s ancestral mansion, Otowakan. With no way to pay off her father\'s debts, Otowakan is being foreclosed and Kanae must oust the remaining residents\xe2\x80\x94her friend Sousuke Kagura, and two strange people who claim to be her father\'s acquaintances, Wolfgang Amadeus Mozart and Ludwig van Beethoven. After somehow being resurrected, Mozart and Beethoven have started going by ""Motes"" and ""Beethes"" respectively, and begun to indulge in a variety of idiotic, non-musical pursuits.\n\nWhile stubbornly refusing to leave Otowakan, Beethes unlocks the hidden power of Musik, saving Otowakan from demolition and delaying his eviction. With this discovery, other Musik users are drawn to Otowakan, including Fr\xc3\xa9d\xc3\xa9ric Chopin, Franz Liszt, and Franz Schubert. However, not all Musik users have innocent desires. Across the city, the enigmatic Johann Sebastian Bach sits atop a tall building, plotting how to use his Musik.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'ClassicaLoid 2nd Season']
animeCharacters	[b'Mozart', b'Beethoven', b'Kagura, Sousuke', b'Otowa, Kanae', b'Schubert', b'Chopin', b'Bach', b'Tchaikovsky', b'B\xc4\x85darzewska', b'Pad-kun']
animeVoices	[b'\nKaji, Yuki\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nKusunoki, Taiten\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nIchimichi, Mao\nJapanese\n', b'\nIshida, Akira\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFujita, Youichi\n\nDirector\n\n', b'\nMatsubara, Shuu\n\nScript\n\n', b'\nKida, Tsuyoshi\n\nScript\n\n', b'\nAsakawa, Miya\n\nScript\n\n']
