animeTitle	b'Blade & Soul Specials'
animeType	b'Special'
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	2645
animeRank	
animePopularity	
animeDescription	b'Short specials (featuring the chibi forms of the characters) included in the Blade and Soul Blu-rays and DVDs.\n'
animeRelated	[b'Blade & Soul']
animeCharacters	[b'Alka', b'El, Karen', b'Jin, Hazuki', b'Dan, Roana', b'Jin, Varel', b'Yuu']
animeVoices	[b'\nTakao, Yuki\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nInoue, Marina\nJapanese\n']
animeStaff	[]
