animeTitle	Hangyakusei Million Arthur 2nd Season
animeType	TV
animeNumEpisode	13
releaseDate	2019-04-04 00:00:00
endDate	2019-06-27 00:00:00
animeNumMembers	
animeScore	6.32
animeUsers	3159
animeRank	
animePopularity	4563
animeDescription	Second season of Hangyakusei Million Arthur.
animeRelated	['Hangyakusei Million Arthur', 'Hangyakusei Million Arthur Special', 'Hangyakusei Million Arthur PV']
animeCharacters	['Danchou Arthur', 'Kakka Arthur', 'Renkin Arthur', 'Tekken Arthur', 'Yamaneko Arthur', 'Bodach', 'Rurou Arthur', 'Titania', 'Coupy', 'Bethor']
animeVoices	['Amamiya, Sora', 'Hanae, Natsuki', 'Minase, Inori', 'Kakihara, Tetsuya', 'Taketatsu, Ayana', 'Mimori, Suzuko', 'Nakamura, Yuuichi', 'Takahashi, Rie', 'Touyama, Nao', 'Hidaka, Rina']
animeStaff	[['Suzuki, Youhei', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Tamai, Tsuyoshi', 'Script, Series Composition'], ['Minakami, Seishi', 'Script']]
