animeTitle	Marine Mirage
animeType	Music
animeNumEpisode	1
releaseDate	2018-09-27 00:00:00
endDate	
animeNumMembers	210
animeScore	5.82
animeUsers	119
animeRank	9305
animePopularity	15854
animeDescription	"Famous Japanese creators challenge the possibilities of Marine-chan（the famous character of ""Umimonogatari""). Co-Making brand new digital idol ""iMarine-chan"", original song and music video with Users. We put several meaning into ""i"" of iMarine, such as infinity, icon, internet, imagination, innovation, ideal and I.

(Source: Official YouTube channel)"
animeRelated	['Sunny Days!', 'Sea Breeze', 'Deep Blue Song (September 2017)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
