animeTitle	b'Sore Ike! Anpanman'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	895
animeRank	
animePopularity	
animeDescription	b'One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. \n\n(Source: ANN)'
animeRelated	"[b'Sore Ike! Anpanman: Black Nose to Mahou no Uta', b'Sore Ike! Anpanman: Niji no Pyramid', b'Sore Ike! Anpanman: Ningyohime no Namida', b'Sore Ike! Anpanman: Kyouryuu Nosshii no Daibouken', b'Sore Ike! Anpanman: Tobe! Tobe! Chibigon', b'Sore Ike! Anpanman: Yuurei Sen wo Yattsukero!!', b'Sore Ike! Anpanman: Tsumiki Shiro no Himitsu', b'Sore Ike! Anpanman: Sora Tobu Ehon to Glass no Kutsu', b'Sore Ike! Anpanman: Baikinman no Gyakushuu', b'Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi', b'Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara', b'Sore Ike! Anpanman: Ruby no Negai', b'Sore Ike! Anpanman: Yomigaere Bananajima', b'Sore Ike! Anpanman: Anpanman to Christmas no Hoshi', b""Sore Ike! Anpanman: Franken-Robo-kun's Surprised Christmas"", b""Sore Ike! Anpanman: Sing! Dance! Everybody's Christmas"", b'Sore Ike! Anpanman: Dadandan to Futago no Hoshi', b'Sore Ike! Anpanman: Happy no Daibouken', b'Sore Ike! Anpanman: Roll to Laura Ukigumojou no Himitsu', b'Sore Ike! Anpanman: Minna de Teasobi - Anpanman to Itazura Obake', b'Sore Ike! Anpanman: Tobase! Kibou no Handkerchief', b'Sore Ike! Anpanman: Inochi no Hoshi no Dolly', b'Sore Ike! Anpanman: Omusubiman', b'Sore Ike! Anpanman: Tekka no Maki-chan to Kin no Kamameshidon', b'Sore Ike! Anpanman: Minami no Umi wo Sukue!', b'Sore Ike! Anpanman: Shabondama no Purun', b'Sore Ike! Anpanman: Tenohira wo Taiyou ni', b'Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman', b'Sore Ike! Anpanman: Anpanman to Happy Otanjoubi', b'Sore Ike! Anpanman: Anpanman to Okashi na Nakama', b'Sore Ike! Anpanman: Anpanman to Yukai na Nakama-tachi', b'Sore Ike! Anpanman: Anpanman no Jin-Jin-Jingle Bells', b'Sore Ike! Anpanman: Baikinman to 3 Bai Punch', b'Sore Ike! Anpanman: Baikinman vs. Baikinman!?', b'Sore Ike! Anpanman: Gomira no Hoshi', b'Sore Ike! Anpanman: Hiya Hiya Hiyariko to Bafu Bafu Baikinman', b'Sore Ike! Anpanman: Horrorman to Hora Horako', b'Sore Ike! Anpanman: Kokin-chan to Namida no Christmas', b'Sore Ike! Anpanman: Kokin-chan to Aoi Namida', b'Sore Ike! Anpanman: Kuruyuki-hime to Mote Mote Baikinman', b'Sore Ike! Anpanman: Minna Atsumare! Anpanman World', b'Sore Ike! Anpanman: Tsukiko to Shiratama - Tokimeki Dancing', b'Sore Ike! Anpanman: Yousei Rinrin no Himitsu', b'Sore Ike! Anpanman: Yumeneko no Kuni no Nyanii', b'Sore Ike! Anpanman: Yuuki no Hana ga Hiraku Toki', b'Sore Ike! Anpanman: Anpanman to Oyakusoku', b'Sore Ike! Anpanman: Outa to Teasobi Tanoshii ne', b'Sore Ike! Anpanman: Lyrical\xe2\x98\x86Magical Mahou no Gakkou', b'Sore Ike! Anpanman: Ringo Boy to Minna no Negai', b'Sore Ike! Anpanman: Bokura wa Hero', b'Sore Ike! Anpanman: Otanjoubi Series', b'Sore Ike! Anpanman: Kaiketsu Naganegiman to Doremi Hime', b'Sore Ike! Anpanman: Yuuki to Honoo to Christmas', b'Sore Ike! Anpanman: Kaiketsu Naganegiman to Yakisobapanman', b'Sore Ike! Anpanman: Kieta Jam Ojisan', b'Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix', b'Sore Ike! Anpanman: Keito no Shiro no Christmas', b'Sore Ike! Anpanman: Rhythm de Teasobi - Anpanman to Fushigi na Parasol', b'Sore Ike! Anpanman: Omocha no Hoshi no Nanda to Runda', b'Sore Ike! Anpanman: Kirameke! Ice no Kuni no Vanilla-hime', b'Sore Ike! Anpanman no Hiragana Asobi: Hajimete no AIUEO', b'Sore Ike! Anpanman: Fuwa Fuwa Fuwaly to Kumo no Kuni', b'Sore Ike! Anpanman: Rhythm de Utaou! Anpanman Natsumatsuri', b'Anpanman to Hajime yo! Iro, Kazu, Katachi Wakarukana Iro, Katachi', b'Yuuki no Hana ga Hiraku Toki: Yanase Takashi to Anpanman no Monogatari']"
animeCharacters	[b'Anpanman', b'Baikinman', b'Rollpanna', b'Cheese', b'Currypanman', b'Horrorman', b'Dokin-chan', b'Oji-san, Jam', b'Shokupanman', b'Melonpanna']
animeVoices	[b'\nToda, Keiko\nJapanese\n', b'\nNakao, Ryusei\nJapanese\n', b'\nTominaga, Miina\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nYanagisawa, Michiyo\nJapanese\n', b'\nKimotsuki, Kaneta\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nMasuoka, Hiroshi\nJapanese\n', b'\nShimamoto, Sumi\nJapanese\n', b'\nKanai, Mika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYatabe, Katsuyoshi\n\nDirector\n\n', b'\nNagaoka, Akinori\n\nDirector, Episode Director\n\n', b'\nNanba, Hitoshi\n\nEpisode Director, Storyboard\n\n', b'\nSekito, Kanno\n\nEpisode Director\n\n']
